EmployeeID,Age,Resigned,BusinessTravel,BusinessUnit,EducationLevel,Gender,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,AverageWeeklyHoursWorked,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInRole,YearsSinceLastPromotion,YearsWithCurrManager
7216,32,No,Travel_Rarely,Consultants,3.0,Male,4.0,Married,6162.0,1,Yes,22,4,49.0,9,3,3.0,9,8,7,8
5422,38,No,Travel_Frequently,Consultants,5.0,Female,4.0,Single,2406.0,1,No,11,3,40.0,10,2,3.0,10,3,9,9
4598,50,No,Travel_Rarely,Consultants,2.0,Female,3.0,Divorced,18740.0,5,Yes,12,3,52.0,29,2,2.0,27,3,13,8
6313,59,No,Travel_Rarely,Sales,3.0,Female,1.0,Single,7637.0,7,No,11,3,40.0,28,3,2.0,21,16,7,9
1916,36,No,Travel_Rarely,Consultants,3.0,Female,3.0,Divorced,10096.0,1,No,13,3,40.0,17,2,3.0,17,14,12,8
4752,55,No,Travel_Rarely,Consultants,3.0,Female,3.0,Divorced,14756.0,2,Yes,14,3,49.0,21,2,3.0,5,0,0,2
1525,36,No,Travel_Frequently,Consultants,3.0,Male,2.0,Single,6499.0,1,No,13,3,40.0,6,3,3.0,6,5,0,3
6168,45,No,Travel_Rarely,Consultants,3.0,Male,1.0,Divorced,9724.0,2,No,17,3,40.0,25,2,3.0,1,0,0,0
7572,35,No,Travel_Frequently,Consultants,3.0,Male,1.0,Married,2194.0,4,No,13,3,40.0,5,2,2.0,3,2,1,2
5386,36,Yes,Travel_Rarely,Consultants,3.0,Male,3.0,Married,3388.0,0,Yes,17,3,57.0,2,0,2.0,1,0,0,0
2084,59,No,Travel_Frequently,Sales,1.0,Female,3.0,Single,5473.0,7,No,11,3,40.0,20,2,2.0,4,3,1,3
4456,29,No,Travel_Rarely,Consultants,3.0,Male,2.0,Married,2703.0,0,No,23,4,40.0,6,3,3.0,5,4,0,4
6155,31,No,Travel_Rarely,Consultants,4.0,Male,2.0,Single,2501.0,1,No,17,3,40.0,1,4,3.0,1,1,1,0
4483,32,No,Travel_Rarely,Consultants,3.0,Male,2.0,Married,6220.0,1,No,17,3,40.0,10,3,3.0,10,4,0,9
9179,36,No,Travel_Rarely,Consultants,3.0,Female,4.0,Married,3038.0,3,No,12,3,40.0,5,3,3.0,1,0,0,0
7482,31,No,Travel_Rarely,Consultants,4.0,Female,4.0,Single,4424.0,1,No,23,4,40.0,11,2,3.0,11,7,1,8
8517,35,No,Travel_Rarely,Sales,4.0,Male,1.0,Single,4312.0,0,No,14,3,40.0,16,2,3.0,15,13,2,8
3340,45,No,Travel_Rarely,Consultants,4.0,Male,1.0,Married,13245.0,4,Yes,14,3,46.0,17,3,4.0,0,0,0,0
5339,37,No,Travel_Rarely,Consultants,4.0,Male,3.0,Single,13664.0,4,No,13,3,40.0,16,3,4.0,5,2,0,2
3287,46,No,Travel_Rarely,Business Operations,2.0,Male,2.0,Divorced,5021.0,8,Yes,22,4,47.0,16,2,3.0,4,2,0,2
5040,30,No,Travel_Rarely,Consultants,1.0,Male,4.0,Married,5126.0,1,Yes,12,3,51.0,10,1,2.0,10,8,3,0
9830,35,No,Travel_Rarely,Consultants,3.0,Male,3.0,Single,2859.0,1,No,18,3,40.0,6,3,3.0,6,4,0,4
5304,55,No,Travel_Rarely,Sales,2.0,Male,4.0,Married,10239.0,3,No,14,3,40.0,24,4,3.0,1,0,1,0
8019,38,No,Non-Travel,Consultants,3.0,Female,4.0,Divorced,5329.0,7,Yes,12,3,49.0,17,3,3.0,13,11,1,9
7543,34,No,Travel_Rarely,Consultants,2.0,Male,2.0,Married,4325.0,1,No,15,3,40.0,5,2,3.0,5,2,1,3
6930,56,No,Travel_Rarely,Consultants,3.0,Male,4.0,Single,7260.0,4,No,11,3,40.0,37,3,2.0,6,4,0,2
4593,23,No,Travel_Rarely,Sales,1.0,Male,1.0,Divorced,2322.0,3,No,13,3,40.0,3,3,3.0,0,0,0,0
3266,51,No,Travel_Rarely,Consultants,4.0,Male,4.0,Married,2075.0,3,No,23,4,40.0,10,4,3.0,4,2,0,3
9348,30,No,Travel_Rarely,Consultants,3.0,Male,4.0,Married,4152.0,1,No,19,3,40.0,11,3,3.0,11,10,10,8
9085,46,Yes,Travel_Rarely,Sales,2.0,Male,4.0,Single,9619.0,1,No,16,3,40.0,9,3,3.0,9,8,4,7
2489,40,No,Travel_Frequently,Consultants,4.0,Male,2.0,Married,13503.0,1,No,22,4,40.0,22,3,2.0,22,3,11,11
1771,51,No,Travel_Rarely,Sales,4.0,Male,4.0,Single,5441.0,0,Yes,22,4,66.0,11,2,1.0,10,7,1,0
2796,30,No,Travel_Rarely,Sales,2.0,Female,2.0,Divorced,5209.0,1,Yes,12,3,52.0,11,4,2.0,11,8,2,7
3504,46,No,Travel_Frequently,Consultants,3.0,Male,1.0,Married,10673.0,2,Yes,13,3,51.0,21,5,2.0,10,9,9,5
3621,32,No,Travel_Rarely,Sales,4.0,Male,3.0,Single,5010.0,1,No,16,3,40.0,12,0,3.0,11,8,5,7
7916,54,No,Travel_Rarely,Consultants,4.0,Female,3.0,Married,13549.0,9,No,12,3,40.0,16,5,1.0,4,3,0,3
2040,24,No,Travel_Rarely,Sales,2.0,Female,3.0,Married,4999.0,0,No,21,4,40.0,4,2,2.0,3,2,0,2
7304,28,No,Non-Travel,Sales,3.0,Male,3.0,Married,4221.0,1,No,15,3,40.0,5,3,4.0,5,4,0,4
7252,58,No,Travel_Rarely,Sales,4.0,Male,3.0,Single,13872.0,0,No,13,3,40.0,38,1,2.0,37,10,1,8
8668,44,No,Non-Travel,Consultants,3.0,Male,2.0,Married,2042.0,4,No,12,3,40.0,17,3,4.0,3,2,1,2
9669,37,Yes,Travel_Rarely,Business Operations,4.0,Male,1.0,Divorced,2073.0,4,Yes,22,4,51.0,7,3,3.0,3,2,0,2
5119,32,No,Travel_Rarely,Consultants,1.0,Male,1.0,Single,2956.0,1,No,13,3,40.0,1,2,3.0,1,0,0,0
1188,20,Yes,Travel_Frequently,Consultants,3.0,Female,4.0,Single,2926.0,1,Yes,18,3,51.0,1,5,3.0,1,0,1,0
2876,34,No,Travel_Rarely,Consultants,4.0,Female,3.0,Single,4809.0,1,No,14,3,40.0,16,3,3.0,16,13,2,10
9797,37,No,Non-Travel,Consultants,2.0,Male,4.0,Divorced,5163.0,5,No,14,3,40.0,17,2,4.0,1,0,0,0
5371,59,No,Non-Travel,Business Operations,4.0,Female,4.0,Married,18844.0,9,No,21,4,40.0,30,3,3.0,3,2,2,2
6573,50,No,Travel_Frequently,Consultants,3.0,Female,2.0,Married,18172.0,3,Yes,19,3,51.0,28,1,2.0,8,3,0,7
2827,25,Yes,Travel_Rarely,Sales,3.0,Male,3.0,Single,5744.0,1,Yes,11,3,50.0,6,1,3.0,6,4,0,3
5808,25,No,Travel_Rarely,Consultants,1.0,Male,4.0,Married,2889.0,1,No,11,3,40.0,2,2,3.0,2,2,2,1
8123,22,No,Travel_Rarely,Consultants,3.0,Female,4.0,Single,2871.0,1,No,15,3,40.0,1,5,3.0,0,0,0,0
3591,51,No,Travel_Frequently,Consultants,4.0,Female,1.0,Single,7484.0,3,No,20,4,40.0,23,1,2.0,13,12,12,8
8433,34,Yes,Travel_Frequently,Consultants,3.0,Male,3.0,Single,6074.0,1,Yes,24,4,52.0,9,3,3.0,9,7,0,6
1053,54,No,Non-Travel,Business Operations,3.0,Female,4.0,Single,17328.0,2,Yes,12,3,47.0,23,3,3.0,5,3,4,4
5315,24,No,Travel_Rarely,Consultants,1.0,Male,3.0,Married,2774.0,0,No,12,3,40.0,6,2,3.0,5,3,1,2
9201,34,No,Travel_Rarely,Consultants,4.0,Female,2.0,Divorced,4505.0,6,No,15,3,40.0,12,3,3.0,1,0,0,0
3927,37,No,Travel_Rarely,Sales,3.0,Male,4.0,Single,7428.0,2,No,12,3,40.0,12,3,3.0,5,3,1,3
9317,34,No,Travel_Rarely,Consultants,3.0,Female,1.0,Single,11631.0,2,No,12,3,40.0,14,6,3.0,11,10,5,8
2743,36,No,Travel_Frequently,Sales,2.0,Female,4.0,Married,9738.0,0,No,14,3,40.0,10,6,3.0,9,7,2,8
5889,36,No,Travel_Rarely,Consultants,2.0,Female,4.0,Divorced,2835.0,5,No,22,4,40.0,7,2,3.0,1,0,0,0
9882,43,No,Travel_Frequently,Sales,2.0,Male,4.0,Married,16959.0,1,Yes,12,3,46.0,25,3,4.0,25,12,4,12
4258,30,No,Travel_Frequently,Consultants,3.0,Male,3.0,Divorced,2613.0,1,No,25,4,40.0,10,2,2.0,10,7,0,9
9905,33,No,Non-Travel,Sales,2.0,Male,2.0,Married,6146.0,0,No,13,3,40.0,8,2,4.0,7,7,0,7
7126,56,Yes,Travel_Rarely,Consultants,4.0,Female,2.0,Married,4963.0,9,Yes,18,3,51.0,7,2,3.0,5,4,4,3
3646,51,No,Travel_Rarely,Consultants,3.0,Male,3.0,Single,19537.0,7,No,13,3,40.0,23,5,3.0,20,18,15,15
9837,31,Yes,Travel_Rarely,Sales,4.0,Male,3.0,Married,6172.0,4,Yes,18,3,57.0,12,3,2.0,7,7,7,7
9689,26,No,Travel_Rarely,Consultants,3.0,Female,2.0,Married,2368.0,1,No,19,3,40.0,5,3,2.0,5,4,4,3
1009,58,Yes,Travel_Rarely,Consultants,4.0,Female,4.0,Married,10312.0,1,No,12,3,40.0,40,3,2.0,40,10,15,6
6310,19,Yes,Travel_Rarely,Sales,1.0,Male,3.0,Single,1675.0,1,Yes,19,3,54.0,0,2,2.0,0,0,0,0
9005,22,No,Travel_Rarely,Consultants,1.0,Male,4.0,Married,2523.0,0,No,14,3,40.0,3,2,3.0,2,1,2,1
1319,49,No,Travel_Rarely,Consultants,4.0,Female,1.0,Married,6567.0,1,No,14,3,40.0,16,2,2.0,15,11,5,11
2832,43,No,Travel_Frequently,Consultants,3.0,Female,3.0,Single,4739.0,4,No,12,3,40.0,18,2,3.0,3,2,1,2
6947,50,No,Travel_Frequently,Sales,3.0,Female,4.0,Single,9208.0,4,No,11,3,40.0,16,3,3.0,2,2,2,1
6038,31,Yes,Travel_Rarely,Sales,3.0,Female,3.0,Married,4559.0,3,Yes,11,3,50.0,4,2,3.0,2,2,2,2
4923,41,No,Travel_Rarely,Sales,1.0,Male,3.0,Divorced,8189.0,3,Yes,13,3,49.0,12,2,3.0,9,7,0,7
1949,26,No,Travel_Rarely,Business Operations,1.0,Female,3.0,Married,2942.0,1,No,23,4,40.0,8,3,3.0,8,7,5,7
4946,36,No,Travel_Rarely,Consultants,2.0,Male,2.0,Divorced,4941.0,6,No,20,4,40.0,7,0,3.0,3,2,0,1
2290,51,Yes,Travel_Frequently,Consultants,4.0,Male,4.0,Single,10650.0,2,No,15,3,40.0,18,2,3.0,4,2,0,3
2403,39,No,Travel_Rarely,Sales,4.0,Female,3.0,Married,5902.0,4,No,14,3,40.0,17,1,4.0,15,11,5,9
8962,25,No,Travel_Rarely,Sales,3.0,Male,3.0,Married,8639.0,2,No,18,3,40.0,6,3,3.0,2,2,2,2
2133,30,No,Travel_Rarely,Business Operations,3.0,Male,4.0,Married,6347.0,0,Yes,19,3,69.0,12,2,1.0,11,9,4,7
9727,32,Yes,Travel_Rarely,Consultants,3.0,Female,1.0,Single,4200.0,7,No,22,4,40.0,10,2,4.0,5,4,0,4
3060,45,No,Travel_Rarely,Consultants,3.0,Male,4.0,Single,3452.0,5,No,13,3,40.0,9,2,2.0,6,5,0,3
3103,38,No,Travel_Rarely,Consultants,5.0,Female,3.0,Single,4317.0,3,Yes,20,4,47.0,19,2,3.0,3,2,2,2
8787,30,No,Travel_Rarely,Consultants,3.0,Female,3.0,Single,2632.0,1,No,14,3,40.0,5,4,2.0,5,4,0,4
3705,32,No,Travel_Frequently,Sales,2.0,Male,4.0,Divorced,4668.0,0,No,17,3,40.0,9,2,4.0,8,7,0,7
5342,30,No,Travel_Rarely,Consultants,3.0,Female,1.0,Divorced,3204.0,5,No,14,3,40.0,8,3,3.0,3,2,2,2
9645,30,No,Travel_Rarely,Consultants,1.0,Male,4.0,Single,2720.0,0,No,13,3,40.0,6,3,3.0,5,3,1,2
7932,41,No,Travel_Frequently,Consultants,3.0,Male,1.0,Divorced,17181.0,4,No,13,3,40.0,21,2,2.0,7,6,7,7
4470,41,No,Travel_Rarely,Consultants,4.0,Male,1.0,Married,2238.0,2,No,21,4,40.0,7,2,3.0,5,0,1,4
9835,19,No,Travel_Rarely,Consultants,1.0,Female,2.0,Single,1483.0,1,No,14,3,40.0,1,3,3.0,1,0,0,0
4295,40,No,Travel_Frequently,Consultants,3.0,Female,2.0,Divorced,5605.0,1,No,11,3,40.0,20,2,3.0,20,7,2,13
6107,35,No,Travel_Rarely,Sales,5.0,Male,2.0,Married,7295.0,1,No,13,3,40.0,10,3,3.0,10,8,0,6
7537,53,No,Travel_Rarely,Sales,2.0,Male,3.0,Married,2306.0,2,Yes,20,4,67.0,13,3,1.0,7,7,4,5
7118,45,No,Travel_Rarely,Consultants,3.0,Male,2.0,Divorced,2348.0,8,No,18,3,40.0,20,2,1.0,17,9,0,15
8177,32,No,Travel_Frequently,Sales,3.0,Female,4.0,Single,8998.0,1,No,14,3,40.0,9,2,3.0,9,8,3,7
9479,29,No,Non-Travel,Consultants,1.0,Male,3.0,Married,4319.0,1,No,13,3,40.0,10,1,3.0,10,7,0,9
8397,51,No,Travel_Rarely,Consultants,4.0,Male,3.0,Married,6132.0,2,No,17,3,40.0,10,2,3.0,1,0,0,0
2982,58,No,Travel_Rarely,Consultants,3.0,Female,2.0,Married,3346.0,4,Yes,20,4,51.0,9,3,2.0,1,0,0,0
5061,40,No,Travel_Rarely,Sales,4.0,Male,4.0,Married,10855.0,7,No,11,3,40.0,15,2,2.0,12,11,2,11
4681,34,No,Travel_Frequently,Sales,4.0,Female,3.0,Married,2231.0,6,No,18,3,40.0,6,3,3.0,4,3,1,2
2049,22,No,Travel_Rarely,Consultants,1.0,Male,4.0,Married,2323.0,1,No,24,4,40.0,2,6,3.0,2,2,2,2
6539,27,No,Non-Travel,Consultants,3.0,Male,2.0,Divorced,2024.0,6,No,18,3,40.0,6,1,1.0,2,2,2,2
1344,28,No,Travel_Rarely,Consultants,3.0,Male,4.0,Married,2713.0,1,No,11,3,40.0,5,2,1.0,5,2,0,2
4770,57,No,Travel_Rarely,Consultants,2.0,Male,4.0,Divorced,9439.0,3,Yes,16,3,69.0,12,2,1.0,5,3,1,4
4608,27,No,Non-Travel,Consultants,3.0,Male,3.0,Divorced,2566.0,1,Yes,15,3,52.0,1,2,2.0,1,1,0,1
1117,50,No,Travel_Rarely,Consultants,3.0,Female,2.0,Single,19926.0,3,No,15,3,40.0,21,5,3.0,5,4,4,4
2163,41,No,Travel_Rarely,Consultants,3.0,Male,3.0,Divorced,2451.0,4,No,12,3,40.0,13,2,3.0,9,8,1,8
1964,30,No,Travel_Rarely,Sales,3.0,Female,4.0,Married,9419.0,2,No,12,3,40.0,12,2,3.0,10,9,7,4
4750,38,No,Travel_Rarely,Sales,4.0,Female,4.0,Single,8686.0,4,No,22,4,40.0,12,2,4.0,8,3,0,7
2104,32,No,Travel_Rarely,Consultants,5.0,Male,3.0,Single,3038.0,3,No,20,4,40.0,8,2,3.0,5,4,1,4
1514,27,No,Travel_Rarely,Consultants,3.0,Male,2.0,Married,3058.0,0,Yes,16,3,55.0,6,3,2.0,5,2,1,1
6413,19,Yes,Travel_Frequently,Sales,1.0,Female,1.0,Single,2325.0,0,No,21,4,40.0,1,5,4.0,0,0,0,0
2160,36,No,Travel_Frequently,Consultants,2.0,Male,2.0,Single,2088.0,4,No,12,3,40.0,13,3,2.0,8,7,7,2
9423,30,No,Non-Travel,Consultants,3.0,Male,1.0,Divorced,3072.0,1,No,11,3,40.0,12,4,3.0,12,9,6,10
4899,45,No,Travel_Rarely,Sales,2.0,Female,1.0,Divorced,5006.0,4,Yes,11,3,46.0,9,3,4.0,5,4,0,3
5562,56,No,Travel_Rarely,Consultants,3.0,Female,1.0,Divorced,4257.0,4,Yes,18,3,50.0,19,3,3.0,2,2,2,2
8953,33,No,Travel_Rarely,Consultants,3.0,Male,4.0,Single,2500.0,0,No,14,3,40.0,4,2,4.0,3,1,0,2
4510,19,Yes,Travel_Rarely,Consultants,3.0,Male,4.0,Single,1102.0,1,No,22,4,40.0,1,3,2.0,1,0,1,0
3167,46,No,Travel_Rarely,Sales,2.0,Female,1.0,Divorced,10453.0,1,No,25,4,40.0,24,2,3.0,24,13,15,7
8744,38,No,Travel_Rarely,Consultants,2.0,Female,4.0,Single,2288.0,1,No,12,3,40.0,2,3,3.0,2,2,2,1
4981,31,No,Travel_Rarely,Consultants,1.0,Female,4.0,Married,3929.0,8,Yes,23,4,48.0,7,0,3.0,4,2,0,2
8749,34,No,Travel_Rarely,Consultants,2.0,Female,2.0,Single,2311.0,2,No,15,3,40.0,9,3,3.0,3,2,1,2
7669,41,Yes,Travel_Rarely,Sales,2.0,Female,2.0,Single,3140.0,1,Yes,22,4,53.0,4,5,2.0,4,3,0,2
4119,50,No,Travel_Rarely,Consultants,3.0,Male,3.0,Married,3690.0,2,No,15,3,40.0,5,2,2.0,3,2,0,2
2545,53,No,Travel_Rarely,Consultants,2.0,Female,1.0,Divorced,4450.0,1,No,11,3,40.0,5,3,3.0,4,2,1,3
2588,33,No,Travel_Rarely,Consultants,3.0,Female,2.0,Married,2756.0,1,No,13,3,40.0,8,5,3.0,8,7,1,6
8062,40,No,Travel_Rarely,Consultants,1.0,Female,3.0,Married,19033.0,1,No,14,3,40.0,21,2,3.0,20,8,9,9
6804,55,No,Travel_Rarely,Consultants,4.0,Male,2.0,Single,18722.0,8,No,11,3,40.0,36,3,3.0,24,15,2,15
7939,34,No,Travel_Frequently,Consultants,1.0,Male,3.0,Married,9547.0,1,No,17,3,40.0,10,2,2.0,10,9,1,9
7735,51,No,Travel_Rarely,Consultants,3.0,Female,2.0,Single,13734.0,3,No,18,3,40.0,21,6,3.0,7,7,1,0
8651,52,No,Travel_Rarely,Consultants,4.0,Male,3.0,Married,19999.0,0,No,14,3,40.0,34,5,3.0,33,18,11,9
1887,27,No,Travel_Rarely,Consultants,3.0,Female,2.0,Single,2279.0,1,No,16,3,40.0,7,2,2.0,7,7,0,3
2612,35,Yes,Travel_Rarely,Consultants,2.0,Male,3.0,Married,5916.0,3,Yes,13,3,50.0,8,1,3.0,1,0,0,1
1993,43,No,Non-Travel,Consultants,3.0,Male,4.0,Divorced,2089.0,4,No,14,3,40.0,7,3,4.0,5,4,2,2
7596,45,No,Non-Travel,Consultants,2.0,Male,4.0,Married,16792.0,9,No,23,4,40.0,22,1,3.0,20,8,11,8
6559,37,No,Travel_Rarely,Consultants,3.0,Male,1.0,Married,3564.0,1,Yes,12,3,52.0,8,3,2.0,8,7,1,7
2790,35,No,Travel_Frequently,Consultants,3.0,Female,2.0,Single,4425.0,5,No,11,3,40.0,10,5,3.0,6,2,1,2
