,Age,Resigned,BusinessTravel,BusinessUnit,EducationLevel,Gender,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,AverageWeeklyHoursWorked,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInRole,YearsSinceLastPromotion,YearsWithCurrManager
100,55,0,RARELY,SALES,2,M,4,M,10239,3,0,14,3,40,24,4,3,1,0,1,0
101,27,0,RARELY,CONSULTANTS,4,F,3,D,2187,0,0,12,3,40,6,5,2,5,3,0,3
102,30,0,RARELY,CONSULTANTS,2,F,4,M,5775,1,0,13,3,40,11,2,3,10,8,1,9
103,38,0,RARELY,CONSULTANTS,1,F,1,S,2619,3,0,17,3,40,8,3,2,0,0,0,0
104,33,1,RARELY,CONSULTANTS,2,F,1,M,2707,7,0,20,4,40,13,3,4,9,7,1,7
105,32,1,FREQUENTLY,CONSULTANTS,2,F,3,S,2432,3,1,14,3,51,8,2,3,4,1,0,3
106,53,0,RARELY,SALES,2,M,3,M,2306,2,1,20,4,67,13,3,1,7,7,4,5
107,42,0,FREQUENTLY,CONSULTANTS,2,F,3,D,4556,2,0,11,3,40,19,3,3,5,4,0,2
108,35,0,FREQUENTLY,CONSULTANTS,4,M,3,M,5689,1,1,14,3,45,10,2,4,10,2,0,2
109,35,1,FREQUENTLY,CONSULTANTS,4,F,2,D,2022,1,1,19,3,54,10,3,2,10,2,7,8
110,47,0,RARELY,CONSULTANTS,3,F,2,D,10333,8,1,12,3,48,28,4,3,22,11,14,10
111,46,0,RARELY,SALES,4,F,1,S,18947,3,0,12,3,40,22,2,2,2,2,2,1
112,34,0,RARELY,SALES,3,M,4,S,9888,1,0,21,4,40,14,3,2,14,8,2,1
113,34,1,RARELY,SALES,4,F,2,S,4599,0,1,23,4,51,16,2,4,15,9,10,10
114,35,0,RARELY,CONSULTANTS,4,M,3,M,2705,0,0,16,3,40,6,2,4,5,4,0,3
115,36,0,RARELY,CONSULTANTS,3,F,1,D,10252,2,1,21,4,47,17,2,3,7,7,7,7
116,53,0,RARELY,CONSULTANTS,2,F,3,D,18606,3,0,18,3,40,26,6,3,7,7,4,7
117,33,0,NON_TRAVEL,SALES,3,F,2,S,5147,8,0,15,3,40,13,2,2,11,7,1,7
118,34,0,FREQUENTLY,SALES,4,F,3,M,2231,6,0,18,3,40,6,3,3,4,3,1,2
119,34,0,FREQUENTLY,CONSULTANTS,3,M,1,S,5343,0,0,20,4,40,14,3,3,13,9,4,9
120,54,0,FREQUENTLY,CONSULTANTS,4,F,3,S,4869,3,0,12,3,40,20,4,2,4,3,0,3
121,25,0,RARELY,SALES,1,F,4,S,6180,1,0,23,4,40,6,5,2,6,5,1,4
122,32,1,RARELY,SALES,2,M,2,S,6735,6,0,15,3,40,10,2,3,0,0,0,0
123,59,0,RARELY,CONSULTANTS,3,M,4,M,2177,3,0,17,3,40,7,6,3,1,0,0,0
124,37,0,RARELY,CONSULTANTS,1,F,1,D,2782,0,1,13,3,52,6,3,2,5,3,4,3
125,44,0,RARELY,CONSULTANTS,3,F,4,D,19049,0,1,14,3,52,23,4,2,22,7,1,10
126,43,0,FREQUENTLY,CONSULTANTS,4,F,4,S,2455,0,0,19,3,40,9,5,3,8,7,1,7
127,35,0,RARELY,CONSULTANTS,4,M,3,M,2258,6,0,12,3,40,10,2,3,8,0,1,7
128,37,0,RARELY,SALES,4,M,4,M,6502,4,0,14,3,40,7,5,4,5,4,0,1
129,26,0,FREQUENTLY,SALES,3,M,1,S,4294,1,0,12,3,40,7,2,3,7,7,0,7
130,52,0,RARELY,CONSULTANTS,4,M,3,M,19999,0,0,14,3,40,34,5,3,33,18,11,9
131,35,0,RARELY,SALES,3,F,3,S,4859,1,0,16,3,40,5,3,3,5,4,0,3
132,34,0,FREQUENTLY,CONSULTANTS,3,F,2,D,4444,4,0,13,3,40,15,2,4,11,8,5,10
133,27,0,RARELY,CONSULTANTS,3,F,4,S,3445,1,0,11,3,40,6,5,2,6,2,1,4
134,38,0,RARELY,OPERATIONS,3,M,3,M,2844,1,0,13,3,40,7,2,4,7,6,5,0
135,32,0,RARELY,SALES,3,M,4,M,6209,1,0,15,3,40,10,4,4,10,7,0,8
136,56,0,FREQUENTLY,SALES,3,F,1,M,13212,9,0,11,3,40,36,0,2,7,7,7,7
137,22,1,FREQUENTLY,CONSULTANTS,4,M,4,M,2853,0,1,11,3,50,1,5,3,0,0,0,0
138,38,0,FREQUENTLY,CONSULTANTS,3,F,2,S,2440,1,0,22,4,40,4,3,3,4,3,3,3
139,56,0,RARELY,CONSULTANTS,3,M,4,S,7260,4,0,11,3,40,37,3,2,6,4,0,2
140,53,0,RARELY,SALES,4,F,4,M,15427,2,0,16,3,40,31,3,3,25,8,3,7
141,35,0,RARELY,CONSULTANTS,4,F,3,D,10388,1,1,11,3,54,16,3,2,16,10,10,1
142,53,0,NON_TRAVEL,CONSULTANTS,4,F,3,M,12965,4,1,20,4,50,27,2,2,3,2,0,2
143,40,0,RARELY,SALES,3,F,2,D,6852,7,0,12,3,40,7,2,4,5,1,1,3
144,55,0,RARELY,CONSULTANTS,2,F,3,M,19187,4,0,14,3,40,23,5,3,19,9,9,11
145,32,0,RARELY,SALES,2,F,2,M,3931,2,0,11,3,40,6,5,3,4,3,1,2
146,30,0,RARELY,CONSULTANTS,1,M,4,M,2862,1,0,12,3,40,10,2,2,10,0,0,8
147,22,0,RARELY,CONSULTANTS,1,M,4,M,2323,1,0,24,4,40,2,6,3,2,2,2,2
148,48,0,RARELY,CONSULTANTS,3,M,4,S,7898,1,0,11,3,40,11,2,3,10,9,0,8
149,39,1,FREQUENTLY,CONSULTANTS,3,M,4,D,12169,7,0,11,3,40,21,4,3,18,7,11,5
150,31,1,RARELY,CONSULTANTS,4,M,3,M,6179,1,1,15,3,53,10,3,2,10,2,6,7
151,29,0,FREQUENTLY,CONSULTANTS,3,M,3,S,6294,8,1,12,3,46,10,5,4,3,2,0,2
152,24,0,RARELY,SALES,1,F,3,M,4162,1,1,12,3,47,5,3,3,5,4,0,3
153,25,0,RARELY,SALES,1,M,3,M,6232,2,0,11,3,40,6,3,2,3,2,1,2
154,34,0,RARELY,SALES,3,F,3,M,6712,1,0,21,4,40,8,2,3,8,7,1,7
155,30,0,RARELY,SALES,4,F,1,D,4779,7,0,14,3,40,8,3,3,3,2,0,2
156,32,0,FREQUENTLY,SALES,2,M,4,D,4668,0,0,17,3,40,9,2,4,8,7,0,7
157,41,0,RARELY,SALES,4,M,2,S,16015,1,0,19,3,40,22,2,3,22,10,0,4
158,32,1,NON_TRAVEL,SALES,4,M,3,M,4707,8,0,12,3,40,6,2,3,4,2,1,2
159,33,0,NON_TRAVEL,CONSULTANTS,3,M,2,D,3055,5,0,15,3,40,11,2,2,9,8,1,7
160,52,1,RARELY,SALES,1,F,4,M,19845,1,0,15,3,40,33,3,3,32,14,6,9
161,33,0,RARELY,SALES,5,M,3,D,8380,0,1,14,3,47,10,3,3,9,8,0,8
162,36,0,RARELY,SALES,4,M,4,S,2644,3,1,21,4,50,7,3,2,3,2,1,2
163,22,0,RARELY,CONSULTANTS,2,M,4,M,4775,6,0,22,4,40,4,2,1,2,2,2,2
164,29,0,RARELY,CONSULTANTS,3,M,4,S,2340,1,0,19,3,40,6,1,3,6,5,1,5
165,27,0,RARELY,CONSULTANTS,3,M,2,M,3058,0,1,16,3,55,6,3,2,5,2,1,1
166,41,0,FREQUENTLY,CONSULTANTS,3,F,4,D,5467,3,1,14,3,51,12,4,2,6,2,3,3
167,27,0,RARELY,CONSULTANTS,1,M,4,D,12808,1,1,16,3,47,9,3,3,9,8,0,8
168,56,0,FREQUENTLY,CONSULTANTS,3,F,3,M,2942,2,0,19,3,40,18,4,3,5,4,0,3
169,39,1,RARELY,CONSULTANTS,3,M,1,M,2404,7,1,21,4,70,8,2,1,2,2,2,2
170,45,0,RARELY,CONSULTANTS,3,M,2,D,2348,8,0,18,3,40,20,2,1,17,9,0,15
171,26,0,RARELY,CONSULTANTS,3,F,4,M,2061,1,0,21,4,40,1,5,3,1,0,0,0
172,40,0,RARELY,CONSULTANTS,3,F,4,D,6513,4,0,17,3,40,12,3,3,5,3,0,3
173,38,0,RARELY,SALES,3,M,2,M,9924,0,0,11,3,40,10,3,3,9,8,7,7
174,33,1,RARELY,CONSULTANTS,1,M,3,M,13610,7,1,12,3,51,15,2,4,7,6,7,7
175,27,0,FREQUENTLY,CONSULTANTS,3,F,1,M,4774,0,0,19,3,40,8,2,2,7,6,7,3
176,21,0,RARELY,CONSULTANTS,1,M,4,S,3117,1,0,18,3,40,3,2,3,2,2,2,2
177,33,0,NON_TRAVEL,SALES,1,F,4,S,2342,0,0,19,3,40,3,2,2,2,2,2,2
178,53,0,RARELY,CONSULTANTS,3,M,2,S,16598,4,0,12,3,40,35,2,2,9,8,8,8
179,29,0,RARELY,SALES,3,M,3,S,2642,1,0,11,3,40,1,6,3,1,0,0,0
180,40,0,RARELY,CONSULTANTS,3,F,3,M,3448,6,0,22,4,40,20,3,3,1,0,0,0
181,31,0,RARELY,SALES,3,M,4,M,6929,4,0,11,3,40,10,3,2,8,7,7,7
182,24,1,FREQUENTLY,CONSULTANTS,3,M,1,S,3172,2,1,11,3,55,4,2,2,0,0,0,0
183,51,0,RARELY,CONSULTANTS,3,M,2,D,5482,5,0,18,3,40,13,3,3,4,1,1,2
184,37,0,FREQUENTLY,CONSULTANTS,3,M,4,M,2326,1,1,12,3,53,4,3,2,4,2,1,2
185,22,1,FREQUENTLY,CONSULTANTS,1,M,3,S,3894,5,0,16,3,40,4,3,3,2,2,1,2
186,23,0,RARELY,CONSULTANTS,2,M,4,S,2647,1,0,13,3,40,5,6,4,5,2,1,4
187,41,0,RARELY,SALES,3,M,1,M,8392,1,0,16,3,40,10,2,3,10,7,0,7
188,30,0,RARELY,SALES,1,M,3,M,5301,8,0,15,3,40,4,2,2,2,1,2,2
189,37,0,RARELY,CONSULTANTS,1,M,3,M,2996,7,1,15,3,50,8,2,3,6,4,1,3
190,30,0,FREQUENTLY,CONSULTANTS,3,M,3,D,2613,1,0,25,4,40,10,2,2,10,7,0,9
191,39,0,NON_TRAVEL,CONSULTANTS,3,M,2,S,6782,9,0,15,3,40,9,2,2,5,4,0,3
192,58,0,RARELY,CONSULTANTS,3,F,2,D,10552,2,1,13,3,50,24,3,3,6,0,0,4
193,35,0,FREQUENTLY,CONSULTANTS,4,M,4,S,4930,0,1,14,3,47,6,2,4,5,4,1,4
194,43,0,RARELY,CONSULTANTS,3,F,2,D,4765,4,0,21,4,40,4,2,4,1,0,0,0
195,27,1,RARELY,CONSULTANTS,4,F,3,S,2394,1,1,13,3,53,8,2,3,8,2,7,7
196,29,0,FREQUENTLY,SALES,1,F,4,M,7918,1,0,14,3,40,11,5,3,11,10,4,1
197,40,0,RARELY,CONSULTANTS,2,M,3,D,19436,0,0,19,3,40,22,5,3,21,7,3,9
198,28,1,RARELY,CONSULTANTS,3,M,4,D,2367,5,0,12,3,40,6,2,2,4,1,0,3
199,28,1,NON_TRAVEL,CONSULTANTS,2,M,1,S,8722,1,0,12,3,40,10,2,2,10,7,1,9
200,43,0,RARELY,CONSULTANTS,2,M,1,M,17159,6,0,24,4,40,22,3,3,4,1,1,0
201,27,0,FREQUENTLY,SALES,3,F,3,S,9981,1,0,14,3,40,7,2,3,7,7,0,7
202,32,0,RARELY,CONSULTANTS,3,M,2,D,5470,0,0,13,3,40,10,4,2,9,5,1,6
203,46,0,RARELY,SALES,2,F,1,D,10453,1,0,25,4,40,24,2,3,24,13,15,7
204,35,0,RARELY,SALES,4,F,4,M,2572,1,0,16,3,40,3,1,2,3,2,0,2
205,36,0,NON_TRAVEL,CONSULTANTS,4,M,2,M,2810,1,0,22,4,40,5,3,3,5,4,0,2
206,31,0,RARELY,CONSULTANTS,3,M,4,M,5582,0,0,21,4,40,10,2,3,9,0,7,8
207,29,0,FREQUENTLY,SALES,2,M,4,S,4554,1,0,18,3,40,10,3,2,10,7,0,9
208,37,0,RARELY,CONSULTANTS,3,F,3,S,3629,4,0,18,3,40,8,6,3,3,2,0,2
209,30,0,RARELY,CONSULTANTS,3,F,1,D,3204,5,0,14,3,40,8,3,3,3,2,2,2
210,34,0,NON_TRAVEL,SALES,4,F,3,M,6538,9,0,15,3,40,6,3,3,3,2,1,2
211,40,0,FREQUENTLY,CONSULTANTS,4,M,2,D,3617,8,1,14,3,47,3,2,3,1,1,0,0
212,33,1,RARELY,CONSULTANTS,4,M,3,S,2686,1,0,13,3,40,10,2,2,10,8,8,10
213,36,1,RARELY,SALES,1,M,4,M,10325,1,1,11,3,50,16,6,3,16,7,3,7
214,30,1,FREQUENTLY,SALES,4,M,1,M,2033,1,0,18,3,40,1,2,4,1,0,0,0
215,21,0,RARELY,SALES,1,M,3,S,3447,1,0,11,3,40,3,2,3,3,2,1,2
216,33,0,RARELY,SALES,4,M,4,D,5505,1,0,14,3,40,6,5,3,6,2,0,4
217,30,1,RARELY,CONSULTANTS,3,F,1,S,2657,5,1,11,3,51,8,5,3,5,2,0,4
218,40,0,FREQUENTLY,CONSULTANTS,4,F,3,S,13499,9,0,17,3,40,20,3,2,18,7,2,13
219,48,0,RARELY,CONSULTANTS,4,M,3,M,2259,4,0,17,3,40,13,2,2,0,0,0,0
220,34,0,FREQUENTLY,CONSULTANTS,4,M,3,D,3815,1,1,17,3,45,5,4,4,5,3,2,0
221,27,0,FREQUENTLY,CONSULTANTS,3,M,4,S,2580,2,0,13,3,40,6,0,2,4,2,1,2
222,57,0,RARELY,CONSULTANTS,2,M,4,D,9439,3,1,16,3,69,12,2,1,5,3,1,4
223,40,0,RARELY,OPERATIONS,2,M,4,S,16437,1,1,21,4,48,21,2,3,21,7,7,7
224,31,0,RARELY,OPERATIONS,2,F,2,S,2109,9,0,18,3,40,8,3,3,3,2,0,2
225,34,0,RARELY,CONSULTANTS,4,F,2,D,4505,6,0,15,3,40,12,3,3,1,0,0,0
226,38,0,RARELY,CONSULTANTS,2,F,3,M,3702,1,0,11,3,40,5,3,3,5,4,0,4
227,22,1,RARELY,CONSULTANTS,1,F,1,M,2398,1,1,17,3,50,1,6,3,1,0,0,0
228,45,0,FREQUENTLY,CONSULTANTS,3,M,1,D,5210,1,0,18,3,40,24,2,3,24,9,9,11
229,25,0,RARELY,CONSULTANTS,1,M,4,M,2889,1,0,11,3,40,2,2,3,2,2,2,1
230,50,0,FREQUENTLY,CONSULTANTS,3,F,2,M,18172,3,1,19,3,51,28,1,2,8,3,0,7
231,35,0,RARELY,SALES,4,M,1,S,4312,0,0,14,3,40,16,2,3,15,13,2,8
232,39,0,RARELY,CONSULTANTS,4,M,4,D,3902,8,0,14,3,40,7,2,3,2,2,2,2
233,40,0,FREQUENTLY,SALES,4,M,2,M,4327,5,0,12,3,40,5,2,3,0,0,0,0
234,45,0,NON_TRAVEL,CONSULTANTS,2,M,4,M,16792,9,0,23,4,40,22,1,3,20,8,11,8
235,36,0,RARELY,CONSULTANTS,3,M,2,S,2013,2,0,11,3,40,15,4,3,4,3,1,3
236,37,0,RARELY,CONSULTANTS,4,F,2,M,6447,6,0,12,3,40,8,2,2,6,5,4,3
237,40,0,RARELY,CONSULTANTS,2,M,4,D,3319,1,0,17,3,40,9,3,3,9,8,4,7
238,29,0,RARELY,SALES,3,M,2,D,2297,1,0,14,3,40,2,2,3,2,2,2,2
239,59,0,FREQUENTLY,SALES,1,F,3,S,5473,7,0,11,3,40,20,2,2,4,3,1,3
240,35,0,FREQUENTLY,SALES,2,M,4,D,4968,1,0,11,3,40,5,3,3,5,2,0,2
241,42,0,RARELY,CONSULTANTS,4,F,2,M,2372,6,1,16,3,49,18,2,3,1,0,0,0
242,35,0,RARELY,CONSULTANTS,4,M,2,S,6540,9,0,19,3,40,10,5,3,1,1,0,0
243,35,0,RARELY,CONSULTANTS,2,M,4,S,3681,4,0,14,3,40,9,3,3,3,2,0,2
244,31,0,RARELY,SALES,3,M,4,D,7547,4,0,12,3,40,13,3,3,7,7,1,7
245,59,0,RARELY,SALES,3,F,1,S,7637,7,0,11,3,40,28,3,2,21,16,7,9
246,45,0,RARELY,CONSULTANTS,3,M,4,M,19202,0,0,11,3,40,25,2,3,24,0,1,7
247,37,0,RARELY,CONSULTANTS,4,M,3,S,13664,4,0,13,3,40,16,3,4,5,2,0,2
